name,category,alcoholic,ingredients,desc
Lady Love Fizz,Ordinary Drink,Alcoholic,"['Gin', 'Light cream', 'Powdered sugar', 'Lemon', 'Egg white', 'Carbonated water']","Indulge in the Lady Love Fizz, a velvety gin cocktail infused with the sweetness of powdered sugar, the zing of lemon, and the silky smoothness of light cream and egg white, all topped with a refreshing fizz of carbonated water."
Long Island Tea,Ordinary Drink,Alcoholic,"['Vodka', 'Light rum', 'Gin', 'Tequila', 'Lemon', 'Coca-Cola']","""Indulge in the Long Island Tea, a potent blend of vodka, light rum, gin, and tequila, infused with a squeeze of lemon and topped with Coca-Cola, creating a refreshing yet bold cocktail."""
Lone Tree Cooler,Ordinary Drink,Alcoholic,"['Carbonated water', 'Gin', 'Dry Vermouth', 'Powdered sugar', 'Orange spiral', 'Lemon peel']","""Refresh under the shade of the Lone Tree Cooler, a crisp gin cocktail blending dry vermouth, sweet powdered sugar, and a twist of citrus, garnished with an orange spiral and lemon peel, all fizzing with carbonated water."""
Lone Tree Cocktail,Ordinary Drink,Alcoholic,"['Sweet Vermouth', 'Gin']","""Under the shade of simplicity, the Lone Tree Cocktail stands tall. A harmonious blend of Sweet Vermouth and crisp Gin, this refreshing mix is a tranquil escape in every sip."""
Lazy Coconut Paloma,Cocktail,Alcoholic,"['Coconut Liqueur', 'Grapefruit Juice', 'Soda Water']","""Escape to a tropical state of mind with the Lazy Coconut Paloma, a refreshing blend of coconut liqueur, tangy grapefruit juice, and bubbly soda water, perfect for sipping on a lazy day."""
Long Island Iced Tea,Ordinary Drink,Alcoholic,"['Vodka', 'Tequila', 'Light rum', 'Gin', 'Coca-Cola', 'Lemon peel']","""Indulge in the Long Island Iced Tea, a potent blend of vodka, tequila, light rum, gin, and a splash of Coca-Cola, garnished with a twist of lemon peel, perfect for those who dare to mix it up."""
Lemon Elderflower Spritzer,Cocktail,Alcoholic,"['Elderflower cordial', 'Vodka', 'Soda Water', 'Fresh Lemon Juice']","""Indulge in the refreshing Lemon Elderflower Spritzer, a zesty blend of vodka, elderflower cordial, and fresh lemon juice, topped with soda water for a light and revitalizing twist."""
Lassi - A South Indian Drink,Other / Unknown,Non alcoholic,"['Yoghurt', 'Water', 'Cumin seed', 'Salt', 'Mint']","""Beat the heat with Lassi, a refreshing South Indian drink blending creamy yoghurt, cool water, and a hint of cumin, salt, and mint, perfect for a revitalizing treat."""
Melya,Coffee / Tea,Non alcoholic,"['Espresso', 'Honey', 'Cocoa powder']","Melya: Rich espresso, velvety honey, and decadent cocoa powder blend in perfect harmony, creating a luxurious, caffeine-kissed treat that's as soothing as it is indulgent."
Mojito,Cocktail,Alcoholic,"['Light rum', 'Lime', 'Sugar', 'Mint', 'Soda water']","""Refresh with our revitalizing Mojito, a zesty blend of light rum, fresh lime, and mint, sweetened with sugar and topped with a splash of soda water."""
Mimosa,Ordinary Drink,Alcoholic,"['Champagne', 'Orange juice']","""Indulge in the classic Mimosa, a refreshing blend of luxurious Champagne and vibrant orange juice, perfect for toasting any occasion."""
Mai Tai,Ordinary Drink,Alcoholic,"['Light rum', 'Orgeat syrup', 'Triple sec', 'Sweet and sour', 'Cherry']","""Escape to the islands with our Mai Tai, a tropical blend of light rum, rich orgeat syrup, and citrusy triple sec, balanced by sweet and sour notes and garnished with a juicy cherry."""
Martini,Cocktail,Alcoholic,"['Gin', 'Dry Vermouth', 'Olive']","""Sophisticated and crisp, the Martini blends gin and dry vermouth, garnished with a sleek olive, perfect for a refined evening."""
Michelada,Cocktail,Alcoholic,"['Beer', 'Tomato Juice', 'Lime Juice', 'Hot Sauce', 'Worcestershire Sauce', 'Soy Sauce']","""Spice up your sip with the Michelada, a bold mix of beer, tangy tomato juice, and a kick of hot sauce, lime, and savory Worcestershire and soy sauces."""
Manhattan,Cocktail,Alcoholic,"['Sweet Vermouth', 'Bourbon', 'Angostura bitters', 'Ice', 'Maraschino cherry', 'Orange peel']","Indulge in the classic Manhattan, a rich blend of bourbon, sweet vermouth, and a hint of Angostura bitters, garnished with a luxurious maraschino cherry and a touch of orange peel, served chilled to perfection."
Margarita,Ordinary Drink,Alcoholic,"['Tequila', 'Triple sec', 'Lime juice', 'Salt']","""Savor the zing of Mexico with our classic Margarita, blending bold Tequila, sweet Triple sec, and tangy Lime juice, garnished with a salt rim."""
Mauresque,Cocktail,Alcoholic,"['Ricard', 'Orgeat Syrup', 'Water', '', '', '', '']","""Mauresque: A refreshing anise-flavored cocktail blending Ricard with sweet Orgeat Syrup and water, evoking the exotic essence of the Mediterranean."""
Mint Julep,Ordinary Drink,Alcoholic,"['Mint', 'Bourbon', 'Powdered sugar', 'Water']","""Indulge in the refreshing Mint Julep, a classic cocktail blending rich bourbon, sweet powdered sugar, and fragrant mint, all muddled to perfection with a splash of water."""
Mudslinger,Punch / Party Drink,Alcoholic,"['Southern Comfort', 'Orange juice', 'Pepsi Cola']","""Mudslinger: A rebellious mix of Southern Comfort, orange juice, and Pepsi Cola, kicking up a storm of sweet and tangy flavors."""
Martinez 2,Cocktail,Alcoholic,"['Gin', 'Sweet Vermouth', 'Maraschino Liqueur', 'Angostura Bitters']","""Indulge in the Martinez 2, a sophisticated blend of gin, sweet vermouth, maraschino liqueur, and a hint of angostura bitters, crafting a rich and complex cocktail with subtle sweetness and a bold finish."""
Moranguito,Shot,Alcoholic,"['Absinthe', 'Tequila', 'Grenadine']","""Moranguito: A bold, crimson twist on tradition, combining the mystique of Absinthe, the spice of Tequila, and the sweet allure of Grenadine, creating a seductive and potent elixir."""
Miami Vice,Cocktail,Alcoholic,"['151 proof rum', 'Pina colada mix', 'Daiquiri mix']","""Escape to the sun-kissed streets of Miami with this fiery twist on a tropical classic. The Miami Vice combines 151 proof rum with creamy Pina Colada and sweet Daiquiri mixes, igniting a flavor explosion that's as bold as the city itself."""
Moscow Mule,Punch / Party Drink,Alcoholic,"['Vodka', 'Lime juice', 'Ginger ale']","""Zesty and refreshing, the Moscow Mule combines crisp vodka, tangy lime juice, and spicy ginger ale, served in a chilled copper mug for a revitalizing twist on a classic cocktail."""
Mulled Wine,Punch / Party Drink,Alcoholic,"['Water', 'Sugar', 'Cloves', 'Cinnamon', 'Lemon peel', 'Red wine', 'Brandy']","Warm up with our Mulled Wine, a rich and spicy blend of red wine, brandy, and aromatic spices, infused with cinnamon, cloves, and a hint of citrus, perfect for cozy nights."
Masala Chai,Coffee / Tea,Non alcoholic,"['Water', 'Tea', 'Ginger', 'Cardamom', 'Cloves', 'Cinnamon', 'Black pepper', 'Sugar', 'Milk']","""Indulge in the warm, aromatic Masala Chai, a soothing blend of black tea, fragrant spices, and creamy milk, perfectly balanced with a hint of sweetness."""
Munich Mule,Cocktail,Alcoholic,"['Gin', 'Lime Juice', 'Ginger Beer', 'Cucumber', 'lemon']","""Experience the Munich Mule, a refreshing twist on a classic cocktail, blending crisp gin, zesty lime juice, spicy ginger beer, and cool cucumber, finished with a squeeze of lemon, perfect for warm nights and lively gatherings."""
Mocha-Berry,Coffee / Tea,Alcoholic,"['Coffee', 'Chambord raspberry liqueur', 'Cocoa powder', 'Whipped cream']","Indulge in the Mocha-Berry, a rich and decadent blend of coffee, Chambord raspberry liqueur, and cocoa powder, topped with a velvety whipped cream, perfect for a sophisticated nightcap."
Mango Mojito,Cocktail,Alcoholic,"['Lime', 'Mango', 'Mint', 'White Rum', 'Ice', 'Soda Water', 'Mango']","""Indulge in the sweet and refreshing Mango Mojito, blending juicy mango, zesty lime, and fragrant mint with white rum, all muddled to perfection and topped with a splash of soda water."""
Mojito Extra,Cocktail,Alcoholic,"['Mint', 'Lemon juice', 'Dark rum', 'Club soda', 'Angostura bitters']","""Refresh with Mojito Extra, a revitalizing blend of dark rum, zesty lemon juice, and fragrant mint, elevated by a splash of club soda and a hint of Angostura bitters."""
Monkey Gland,Ordinary Drink,Alcoholic,"['Gin', 'Benedictine', 'Orange juice', 'Grenadine']","""Unleash the wild with Monkey Gland, a tantalizing blend of gin, Benedictine, and citrus, sweetly seduced by grenadine's fruity charm."""
Midnight Mint,Cocktail,Alcoholic,"['Baileys irish cream', 'White Creme de Menthe', 'Cream']","""Indulge in Midnight Mint, a refreshing twist on a classic nightcap. Baileys Irish Cream, White Creme de Menthe, and rich cream blend together in a cool, velvety escape, perfect for sipping under the stars."""
Mary Pickford,Cocktail,Alcoholic,"['Light rum', 'Pineapple juice', 'Maraschino liqueur', 'Grenadine', 'Maraschino cherry']","""Indulge in the Mary Pickford, a tropical twist of light rum, pineapple juice, and sweet maraschino liqueur, finished with a hint of grenadine and garnished with a cherry, evoking the glamour of a bygone era."""
Monkey Wrench,Ordinary Drink,Alcoholic,"['Light rum', 'Grapefruit juice', 'Bitters']","""Unleash chaos with the Monkey Wrench, a tangy twist of light rum, grapefruit juice, and a hint of bitters, guaranteed to wrench you out of your ordinary."""
Negroni,Ordinary Drink,Alcoholic,"['Gin', 'Campari', 'Sweet Vermouth']","""Bitter meets sweet in the Negroni, a classic blend of Gin, Campari, and Sweet Vermouth, crafting a bold, complex cocktail with a hint of citrus and a whole lot of sophistication."""
New York Sour,Ordinary Drink,Alcoholic,"['Blended whiskey', 'Lemon', 'Sugar', 'Red wine', 'Lemon', 'Cherry']","""Indulge in the New York Sour, a tangy twist on the classic whiskey sour. Blended whiskey, fresh lemon, and a hint of sugar are perfectly balanced by a float of rich red wine, garnished with a cherry for a sophisticated sip."""
Nutty Irishman,Shake,Alcoholic,"['Baileys irish cream', 'Frangelico', 'Milk']","""Indulge in the Nutty Irishman, a rich and velvety blend of Baileys Irish Cream, hazelnut-infused Frangelico, and creamy milk, perfect for a decadent nightcap."""
National Aquarium,Ordinary Drink,Alcoholic,"['Rum', 'Vodka', 'Gin', 'Blue Curacao', 'Sour mix', 'Lemon-lime soda']","""Dive into the National Aquarium, a vibrant oceanic blend of Rum, Vodka, and Gin, swirled with Blue Curacao and a splash of sour mix, topped with a refreshing wave of lemon-lime soda."""
New York Lemonade,Cocktail,Alcoholic,"['Absolut Citron', 'Grand Marnier', 'Lemon juice', 'Club soda']","""Experience the Big Apple in a glass with New York Lemonade, a refreshing blend of Absolut Citron, Grand Marnier, and zesty lemon juice, topped with a splash of club soda for a citrusy twist on a classic cocktail."""
Nuked Hot Chocolate,Cocoa,Non alcoholic,"['Cocoa powder', 'Sugar', 'Vanilla extract', 'Milk']","""Unleash the blast with Nuked Hot Chocolate, a rich and creamy blend of velvety cocoa powder, sweet sugar, and a hint of vanilla extract, all combined with steaming hot milk to create a decadent treat that's sure to detonate your taste buds."""
Orgasm,Ordinary Drink,Alcoholic,"['Creme de Cacao', 'Amaretto', 'Triple sec', 'Vodka', 'Light cream']","""Indulge in the Orgasm, a rich and decadent blend of Creme de Cacao, Amaretto, Triple sec, and Vodka, velvety-smooth with a hint of light cream, sure to leave you breathless."""
Old Pal,Cocktail,Alcoholic,"['Rye whiskey', 'Campari', 'Dry Vermouth']","""Old Pal: A bold, bitter blend of rye whiskey, Campari, and dry vermouth, perfect for those who appreciate a classic, full-bodied cocktail with a hint of spice."""
Orangeade,Cocktail,Non alcoholic,"['Lemon juice', 'Orange juice', 'Sugar syrup', 'Soda water']","""Orangeade: A refreshing blend of zesty lemon and vibrant orange juices, sweetened with sugar syrup and fizzed with soda water, creating a revitalizing non-alcoholic drink perfect for any occasion."""
Orange Whip,Other / Unknown,Alcoholic,"['Orange juice', 'Rum', 'Vodka', 'Cream', 'Ice']","Indulge in the Orange Whip, a creamy and dreamy blend of orange juice, rum, and vodka, swirled with velvety cream and chilled to perfection over ice."
Orange Crush,Shot,Alcoholic,"['Vodka', 'Triple sec', 'Orange juice']","""Indulge in the Orange Crush, a vibrant blend of vodka, triple sec, and fresh orange juice, perfectly balancing sweet and tangy flavors in every refreshing sip."""
Orange Oasis,Ordinary Drink,Alcoholic,"['Cherry brandy', 'Gin', 'Orange juice', 'Ginger ale']","""Escape to the Orange Oasis, a refreshing blend of cherry brandy, gin, and orange juice, topped with a zesty splash of ginger ale, perfect for a vibrant night out."""
Old Fashioned,Cocktail,Alcoholic,"['Bourbon', 'Angostura bitters', 'Sugar', 'Water']","""Rich bourbon, infused with subtle Angostura bitters and a hint of sweetness, comes together in a timeless Old Fashioned, a classic cocktail that exudes warmth and sophistication."""
Oreo Mudslide,Ordinary Drink,Alcoholic,"['Vodka', 'Kahlua', 'Baileys irish cream', 'Vanilla ice-cream', 'Oreo cookie']","""Indulge in the Oreo Mudslide, a decadent blend of vodka, Kahlua, and Baileys Irish cream, swirled with vanilla ice cream and crushed Oreo cookies, creating a rich, creamy treat that's as playful as it is potent."""
Oatmeal Cookie,Cocktail,Alcoholic,"['Kahlua', 'Baileys irish cream', 'Butterscotch schnapps', 'Jagermeister', 'Goldschlager']","Indulge in the Oatmeal Cookie, a rich, velvety blend of Kahlua, Baileys Irish Cream, Butterscotch schnapps, Jagermeister, and Goldschlager, evoking the warm, spicy flavors of a freshly baked treat with a bold, boozy twist."
Orange Push-up,Ordinary Drink,Alcoholic,"['Spiced rum', 'Grenadine', 'Orange juice', 'Sour mix']","""Indulge in the Orange Push-up, a vibrant blend of spiced rum, sweet grenadine, and tangy orange juice, perfectly balanced with a hint of sour mix, evoking memories of childhood summers with a grown-up twist."""
Orange Rosemary Collins,Cocktail,Alcoholic,"['Gin', 'Orange Juice', 'Lemon Juice', 'Rosemary Syrup', 'Soda Water', 'Rosemary', 'Orange Peel']","""Indulge in the Orange Rosemary Collins, a refreshing gin cocktail infused with the herbal charm of rosemary and the vibrant zest of orange, perfectly balanced with a hint of citrus and a sprig of elegance."""
Orange Scented Hot Chocolate,Cocoa,Non alcoholic,"['Milk', 'Chocolate', 'Orange peel', 'Espresso', 'Nutmeg']","""Indulge in our Orange Scented Hot Chocolate, a rich and velvety blend of milk, dark chocolate, and espresso, infused with the warmth of orange peel and a hint of nutmeg, perfect for a cozy treat."""
Owen's Grandmother's Revenge,Ordinary Drink,Alcoholic,"['Whiskey', 'Beer', 'Lemonade', 'Ice']","Owen's Grandmother's Revenge: A feisty mix of whiskey, beer, and lemonade, served over ice, packing a punch that'll leave you questioning your life choices."
Paloma,Cocktail,Alcoholic,"['Grape Soda', 'Tequila']","""Paloma: A zesty twist on a classic, blending crisp tequila with sweet grape soda, creating a refreshing and tangy cocktail."""
Paradise,Ordinary Drink,Alcoholic,"['Gin', 'Apricot Brandy', 'Orange Juice']","""Escape to Paradise with this vibrant blend of gin, apricot brandy, and orange juice, a refreshing cocktail that transports you to a tropical state of mind."""
Pink Gin,Ordinary Drink,Alcoholic,"['Bitters', 'Gin']","""Indulge in Pink Gin, a classic blend of crisp gin and subtle bitters, creating a refreshing and slightly sweet twist on a timeless cocktail."""
Pegu Club,Cocktail,Alcoholic,"['Gin', 'Orange Curacao', 'Lime Juice', 'Angostura Bitters', 'Orange Bitters']","""Pegu Club: A classic gin cocktail blending citrus and spice, with orange curacao and lime juice, subtly balanced by angostura and orange bitters."""
Pink Lady,Ordinary Drink,Alcoholic,"['Gin', 'Grenadine', 'Light cream', 'Egg white']","Indulge in the Pink Lady, a delicate blend of gin, sweet grenadine, and velvety light cream, topped with a silky egg white foam, creating a soft pink hue and a taste of elegance."
Pink Moon,Cocktail,Alcoholic,"['Gin', 'Coconut Liqueur', 'Elderflower cordial', 'Lime Juice', 'Blackberries']","""Indulge in the Pink Moon, a celestial blend of gin, coconut liqueur, and elderflower cordial, infused with lime juice and blackberries, creating a sweet and tangy harmony under the night sky."""
Penicillin,Cocktail,Alcoholic,"['Blended Scotch', 'Lemon Juice', 'Honey syrup', 'Ginger Syrup', 'Islay single malt Scotch']","""Penicillin: A medicinal mix of Blended Scotch, zesty lemon, soothing honey, and spicy ginger, finished with a smoky dose of Islay single malt, curing what ails you."""
Pisco Sour,Cocktail,Alcoholic,"['Pisco', 'Lemon juice', 'Sugar', 'Ice', 'Egg White']","""Indulge in the Pisco Sour, a zesty Peruvian classic blending rich Pisco, tangy lemon juice, and a touch of sweetness, topped with a silky egg white foam."""
Porto flip,Ordinary Drink,Alcoholic,"['Brandy', 'Port', 'Egg Yolk']","Indulge in the rich Porto Flip, a velvety blend of brandy, port, and egg yolk, crafting a smooth, decadent cocktail with deep, fruity undertones."
Pina Colada,Ordinary Drink,Alcoholic,"['Light rum', 'Coconut milk', 'Pineapple']","""Escape to a tropical paradise with our creamy Pina Colada, blending rich coconut milk, sweet pineapple, and a hint of light rum."""
Pink Penocha,Punch / Party Drink,Alcoholic,"['Everclear', 'Vodka', 'Peach schnapps', 'Orange juice', 'Cranberry juice']","Introducing the Pink Penocha: a fruity and potent blend of Everclear, Vodka, Peach schnapps, and a splash of Orange and Cranberry juices, creating a sweet and tangy cocktail that packs a punch."
Pure Passion,Cocktail,Alcoholic,"['Rum', 'Passoa', 'Lime Juice', 'Passion fruit syrup', 'Peach Bitters', 'Mint']","""Indulge in Pure Passion, a tropical twist of rum, Passoa, and passion fruit syrup, balanced by zesty lime juice and subtle peach bitters, garnished with refreshing mint."""
Popped cherry,Ordinary Drink,Alcoholic,"['Vodka', 'Cherry liqueur', 'Cranberry juice', 'Orange juice']","Indulge in the Popped Cherry, a tantalizing blend of vodka, cherry liqueur, cranberry juice, and orange juice, bursting with fruity flavors and a hint of sweetness."
Poppy Cocktail,Ordinary Drink,Alcoholic,"['Gin', 'Creme de Cacao']","""Indulge in the Poppy Cocktail, a rich and velvety blend of gin and Creme de Cacao, with subtle chocolate notes and a sophisticated twist."""
Port Wine Flip,Ordinary Drink,Alcoholic,"['Port', 'Light cream', 'Powdered sugar', 'Egg', 'Nutmeg']","""Indulge in the rich Port Wine Flip, a velvety blend of port, light cream, and powdered sugar, elevated by the subtle warmth of nutmeg and the silky texture of egg, creating a decadent and comforting cocktail experience."""
Planter's Punch,Punch / Party Drink,Alcoholic,"['Dark rum', 'Orgeat syrup', 'Orange juice', 'Pineapple juice']","""Indulge in the tropical bliss of Planter's Punch, a rich blend of dark rum, velvety orgeat syrup, and juicy orange and pineapple juices, evoking the vibrant spirit of the Caribbean."""
Pineapple Paloma,Cocktail,Alcoholic,"['Tequila', 'Grapefruit Juice', 'Fresh Lime Juice', 'Pineapple Juice', 'Lime', 'Pepper']","""Indulge in the Pineapple Paloma, a zesty twist on a classic, blending tequila with grapefruit, pineapple, and lime juices, finished with a hint of pepper and a squeeze of fresh lime."""
Pornstar Martini,Cocktail,Alcoholic,"['Vodka', 'Passoa', 'Passion fruit juice', 'Lime', 'Prosecco']","""Indulge in the seductive Pornstar Martini, a tantalizing blend of vodka, Passoa, and passion fruit juice, kissed with lime and topped with a flirtatious splash of Prosecco."""
Planter’s Punch,Cocktail,Alcoholic,"['Dark Rum', 'Orange Juice', 'Pineapple Juice', 'Grenadine', 'Sugar Syrup', 'Angostura Bitters']","""Indulge in the tropical bliss of Planter's Punch, a rich blend of dark rum, vibrant orange and pineapple juices, and subtle hints of grenadine and bitters, all harmonized with a touch of sweetness."""
Port And Starboard,Ordinary Drink,Alcoholic,"['Grenadine', 'Green Creme de Menthe']","""Set sail with Port And Starboard, a refreshing mix of sweet Grenadine and invigorating Green Creme de Menthe, navigating your taste buds to a sea of cool, minty bliss."""
Port Wine Cocktail,Ordinary Drink,Alcoholic,"['Port', 'Brandy']","""Indulge in the rich Port Wine Cocktail, a velvety blend of smooth Port and bold Brandy, perfect for sipping on a sophisticated evening."""
Pysch Vitamin Light,Ordinary Drink,Non alcoholic,"['Orange juice', 'Apple juice', 'Pineapple juice', 'Ice']","""Revitalize with Psych Vitamin Light, a refreshing blend of orange, apple, and pineapple juices, served chilled over ice, bursting with fruity goodness and a boost of citrusy fun."""
Pink Panty Pulldowns,Ordinary Drink,Alcoholic,"['Sprite', 'Pink lemonade', 'Vodka']","""Indulge in the sweet and sassy Pink Panty Pulldowns, a tantalizing blend of vodka, pink lemonade, and a splash of Sprite, perfect for a flirtatious night out."""
Passion Fruit Martini,Cocktail,Alcoholic,"['Vodka', 'Sugar Syrup', 'Passion fruit juice']","""Indulge in the exotic Passion Fruit Martini, a sweet and tangy blend of vodka, sugar syrup, and fresh passion fruit juice, perfectly balanced to ignite your senses."""
Pineapple Gingerale Smoothie,Other / Unknown,Non alcoholic,"['Ginger', 'Pineapple']","""Invigorate your senses with our Pineapple Gingerale Smoothie, a refreshing blend of spicy ginger and sweet pineapple, perfect for a revitalizing pick-me-up."""
Quentin,Ordinary Drink,Alcoholic,"['Dark rum', 'Kahlua', 'Light cream', 'Nutmeg']","""Quentin: Rich dark rum and Kahlua blend, velvety light cream, and a hint of warm nutmeg, crafting a decadent and aromatic nightcap."""
Queen Bee,Ordinary Drink,Alcoholic,"['Coffee brandy', 'Lime vodka', 'Sherry']","""Indulge in the Queen Bee, a regal blend of coffee brandy, lime vodka, and sherry, buzzing with rich, velvety flavors and a hint of citrus sweetness."""
Quick F**K,Shot,Alcoholic,"['Kahlua', 'Midori melon liqueur', 'Baileys irish cream']","""Indulge in the seductive Quick F**K, a rich and creamy blend of Kahlua, Midori melon liqueur, and Baileys Irish cream, combining deep, velvety textures with a hint of sweet melon and a kick of bold coffee, guaranteed to leave you breathless."""
Quick-sand,Ordinary Drink,Alcoholic,"['Black Sambuca', 'Orange juice']","""Get sucked in by the Quick-sand, a treacherous blend of Black Sambuca and orange juice that will pull you under with its sweet and mysterious charm."""
Queen Charlotte,Ordinary Drink,Alcoholic,"['Red wine', 'Grenadine', 'Lemon-lime soda']","""Indulge in the Queen Charlotte, a regal blend of rich red wine, sweet grenadine, and a hint of citrusy lemon-lime soda, fit for royalty."""
Queen Elizabeth,Ordinary Drink,Alcoholic,"['Dry Vermouth', 'Gin', 'Benedictine']","""Indulge in the regal Queen Elizabeth, a sophisticated blend of crisp Gin, subtle Dry Vermouth, and hints of sweet Benedictine, fit for royalty."""
Quaker's Cocktail,Ordinary Drink,Alcoholic,"['Light rum', 'Brandy', 'Lemon', 'Raspberry syrup']","""Indulge in the Quaker's Cocktail, a harmonious blend of light rum and brandy, balanced by the zesty kiss of lemon and the sweet whisper of raspberry syrup, creating a refreshing and fruity escape."""
Quarter Deck Cocktail,Ordinary Drink,Alcoholic,"['Light rum', 'Sherry', 'Lime']","""Set sail with the Quarter Deck Cocktail, a refreshing blend of light rum, rich sherry, and zesty lime, perfect for navigating any occasion."""
Rose,Ordinary Drink,Alcoholic,"['Dry Vermouth', 'Gin', 'Apricot brandy', 'Lemon juice', 'Grenadine', 'Powdered sugar']","""Indulge in Rose, a delicate blend of gin, apricot brandy, and dry vermouth, subtly sweetened with powdered sugar, lemon juice, and a hint of grenadine, creating a floral and fruity cocktail experience."""
Radler,Ordinary Drink,Alcoholic,"['Beer', '7-Up']","""Radler: A refreshing twist on classic beer, mixed with a splash of citrusy 7-Up for a light, crisp taste."""
Rum Sour,Ordinary Drink,Alcoholic,"['Light rum', 'Lemon juice', 'Sugar', 'Orange', 'Maraschino cherry']","""Indulge in the Rum Sour, a tangy twist of light rum, fresh lemon juice, and a hint of sweetness, garnished with a vibrant orange slice and a cherry on top."""
Rum Punch,Punch / Party Drink,Alcoholic,"['Rum', 'Ginger ale', 'Fruit punch', 'Orange juice', 'Ice']","""Island vibes in a glass, Rum Punch combines rich rum, spicy ginger ale, and fruity twists of fruit punch and orange juice, served chilled over ice."""
Rum Toddy,Ordinary Drink,Alcoholic,"['Rum', 'Powdered sugar', 'Lemon peel', 'Water']","""Warm up with the Rum Toddy, a soothing blend of rich rum, sweet powdered sugar, and zesty lemon peel, all dissolved in comforting water."""
Royal Fizz,Ordinary Drink,Alcoholic,"['Gin', 'Sweet and sour', 'Egg', 'Coca-Cola']","""Indulge in the Royal Fizz, a rich and velvety cocktail blending gin, sweet and sour mix, and a hint of creamy egg, topped with a refreshing splash of Coca-Cola."""
Rum Cooler,Ordinary Drink,Alcoholic,"['Rum', 'Lemon-lime soda', 'Lemon']","""Refresh with the Rum Cooler, a revitalizing blend of rich rum, zesty lemon, and crisp lemon-lime soda, perfect for warm days and lively nights."""
Rum Runner,Punch / Party Drink,Alcoholic,"['Malibu rum', 'Blackberry brandy', 'Orange juice', 'Pineapple juice', 'Cranberry juice']","""Escape to the islands with the Rum Runner, a tropical blend of Malibu rum, blackberry brandy, and a trio of juicy flavors - orange, pineapple, and cranberry - that will leave you feeling like a swashbuckling adventurer."""
Rusty Nail,Ordinary Drink,Alcoholic,"['Scotch', 'Drambuie', 'Lemon peel']","""Indulge in the Rusty Nail, a smoky fusion of Scotch and Drambuie, garnished with a twist of citrusy lemon peel, evoking a sense of classic sophistication."""
Red Snapper,Shot,Alcoholic,"['Crown Royal', 'Amaretto', 'Cranberry juice']","""Indulge in the Red Snapper, a bold blend of Crown Royal whiskey, sweet Amaretto, and tart cranberry juice, crafting a rich, fruity flavor with a regal kick."""
Royal Bitch,Shot,Alcoholic,"['Frangelico', 'Crown Royal']","""Indulge in the Royal Bitch, a rich and velvety blend of Frangelico's nutty charm and Crown Royal's smooth whiskey, fit for a king... or a rebel."""
Royal Flush,Shot,Alcoholic,"['Crown Royal', 'Peach schnapps', 'Chambord raspberry liqueur', 'Cranberry juice']","Indulge in the Royal Flush, a regal blend of Crown Royal, peach schnapps, and Chambord raspberry liqueur, elegantly mixed with cranberry juice, creating a sweet and tangy cocktail fit for royalty."
Rum Cobbler,Ordinary Drink,Alcoholic,"['Sugar', 'Club soda', 'Lemon', 'Dark rum', 'Maraschino cherry', 'Orange']","""Indulge in the Rum Cobbler, a refreshing mix of dark rum, zesty lemon, and sweet orange, topped with a splash of club soda and garnished with a maraschino cherry, all on a bed of sugar."""
Ruby Tuesday,Cocktail,Alcoholic,"['Gin', 'Cranberry juice', 'Grenadine']","""Ruby Tuesday: A sweet and tangy blend of gin, cranberry juice, and grenadine, evoking the warmth of a summer sunset in every sip."""
Rail Splitter,Cocktail,Non alcoholic,"['Sugar syrup', 'Lemon juice', 'Ginger ale']","""Rail Splitter: A refreshing twist on classic flavors, combining sweet sugar syrup, zesty lemon juice, and invigorating ginger ale for a revitalizing non-alcoholic drink."""
Rosemary Blue,Cocktail,Alcoholic,"['Gin', 'Blue Curacao', 'Tonic Water', 'Rosemary']","""Rosemary Blue: A refreshing gin cocktail infused with the earthy essence of rosemary, swirled with the vibrant hue of Blue Curacao and topped with crisp tonic water, creating a herbaceous and revitalizing sip."""
Ramos Gin Fizz,Cocktail,Alcoholic,"['Gin', 'Lemon Juice', 'Sugar Syrup', 'Cream', 'Egg White', 'Vanilla extract', 'Soda Water']","""Indulge in the velvety Ramos Gin Fizz, a classic cocktail blending gin, lemon juice, and sugar syrup with creamy textures from egg white and cream, finished with a hint of vanilla and a refreshing soda water fizz."""
Royal Gin Fizz,Ordinary Drink,Alcoholic,"['Gin', 'Lemon', 'Powdered sugar', 'Egg', 'Carbonated water']","""Indulge in the Royal Gin Fizz, a luxurious blend of crisp gin, zesty lemon, and velvety egg, sweetened with a touch of powdered sugar and lifted by a refreshing fizz of carbonated water."""
Rum Milk Punch,Ordinary Drink,Alcoholic,"['Light rum', 'Milk', 'Powdered sugar', 'Nutmeg']","Indulge in the creamy Rum Milk Punch, a velvety blend of light rum, sweet milk, and powdered sugar, warmed with a hint of nutmeg."
Raspberry Julep,Cocktail,Alcoholic,"['Bourbon', 'Raspberry syrup', 'Mint']","""Indulge in the Raspberry Julep, a refreshing twist on a classic. Bourbon, sweet raspberry syrup, and fragrant mint mingle in perfect harmony, creating a sweet and tangy sipper perfect for warm evenings."""
Rum Screwdriver,Ordinary Drink,Alcoholic,"['Light rum', 'Orange juice']","""Vibrant and refreshing, the Rum Screwdriver combines light rum with a splash of citrusy orange juice, creating a revitalizing twist on a classic cocktail."""
